outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id,platform,device,manufacturer,Model
124.7,4.64,11.68,23003,android,HUAWEI CUN-L01,Huawei,HUAWEI CUN-L01
37.27,136.1,1557.33,23005,android,SM-G900F,Samsung,SM-G900F
50.68,540.6,650.92,23012,ios,"iPhone6,2",,
28.74,29.52,3114.67,23013,android,SM-G900F,Samsung,SM-G900F
87.76,140.61,1557.33,23015,android,SM-A300FU,Samsung,SM-A300FU
99.81,403.78,3114.67,23016,android,SM-G900F,Samsung,SM-G900F
55.96,0.25,2076.45,23017,android,F3111,Sony,F3111
101.59,84.41,5191.12,23018,android,Moto G (4),Motorola,Moto G (4)
101.59,84.41,5191.12,23018,android,Moto G (4),Motorola,Moto G (4)
101.59,84.41,5191.12,23018,android,Moto G (4),Motorola,Moto G (4)
126.3,135.35,519.12,23019,android,SM-J320FN,Samsung,SM-J320FN
42.93,124.33,519.12,23020,android,SM-G361F,Samsung,SM-G361F
63.56,26.87,9344.0,23021,android,SM-G930F,Samsung,SM-G930F
157.33,8.87,1557.33,23023,android,ONEPLUS A3003,,
70.34,18.0,212.64,23024,android,MotoE2(4G-LTE),Motorola,MotoE2(4G-LTE)
70.34,18.0,212.64,23024,android,MotoE2(4G-LTE),Motorola,MotoE2(4G-LTE)
70.34,18.0,212.64,23024,android,MotoE2(4G-LTE),Motorola,MotoE2(4G-LTE)
70.34,18.0,212.64,23024,android,MotoE2(4G-LTE),Motorola,MotoE2(4G-LTE)
532.98,44.36,2076.45,23026,android,ONE A2003,OnePlus,ONE A2003
532.98,44.36,2076.45,23026,android,ONE A2003,OnePlus,ONE A2003
60.08,261.33,12458.67,23027,android,X11,Lava,X11
92.52,162.39,1557.33,23028,android,C6603,Sony,C6603
22.85,34.54,6577.12,23029,android,HTC One_M8,HTC,HTC One_M8
22.85,34.54,6577.12,23029,android,HTC One_M8,HTC,HTC One_M8
227.13,76.94,0.0,23030,android,SM-J320FN,Samsung,SM-J320FN
227.13,76.94,1038.21,23031,android,SM-J320FN,Samsung,SM-J320FN
227.13,76.94,1038.21,23032,android,SM-J320FN,Samsung,SM-J320FN
57.66,62.85,1557.33,23036,android,VF-795,,
180.18,17.49,2076.45,23039,android,SM-G531F,Samsung,SM-G531F
12.85,58.32,74.4,23040,android,HTC Desire 620,HTC,HTC Desire 620
198.59,90.49,5191.12,23041,android,SM-G900F,Samsung,SM-G900F
198.59,90.49,5191.12,23043,android,SM-G900F,Samsung,SM-G900F
198.59,90.49,3114.67,23044,android,SM-G900F,Samsung,SM-G900F
106.65,82.13,5191.12,23046,android,Moto G (4),Motorola,Moto G (4)
106.65,82.13,5191.12,23046,android,Moto G (4),Motorola,Moto G (4)
106.65,82.13,5191.12,23046,android,Moto G (4),Motorola,Moto G (4)
344.53,20.53,519.12,23049,android,SM-G900F,Samsung,SM-G900F
42.75,46.83,5191.12,23053,android,Vodafone Smart ultra 6,Vodafone,Vodafone Smart ultra 6
42.75,46.83,5191.12,23053,android,Vodafone Smart ultra 6,ZTE,Vodafone Smart ultra 6
501.92,165.52,2112.59,23057,,,,
60.41,0.8,3114.67,23058,,,,
60.41,0.8,3114.67,23059,,,,
46.4,65.9,1557.33,23073,,,,
38.56,47.65,4025.86,23083,,,,
747.97,65.84,4867.46,23084,,,,
73.49,6.94,1557.33,23142,,,,
41.6,61.51,1557.33,23106,,,,
641.36,336.38,1812.74,23116,,,,
993.35,99.0,11286.04,23143,,,,
73.49,6.94,5191.12,23183,,,,
73.49,6.94,1557.33,23157,,,,
776.34,31.02,5819.47,23205,,,,
48.62,9.13,519.12,23207,,,,
206.03,38.42,664.33,23211,,,,
320.07,366.81,1689.74,23241,,,,
111.74,37.62,703.72,23301,,,,
134.87,497.89,480.25,23420,,,,
293.72,106.26,1320.51,23429,,,,
173.28,94.05,3953.89,23473,,,,
632.06,120.46,1453.16,23482,,,,
632.06,120.46,1453.16,23484,,,,
15.52,18.5,1557.33,23536,,,,
583.73,216.52,1441.29,23548,,,,
190.08,30.92,369.84,23591,,,,
161.21,24.54,1908.59,23609,,,,
300.3,11.66,3251.33,23676,,,,
1816.63,83.65,738.36,23743,,,,
139.34,125.98,1496.01,23823,,,,
113.49,48.16,6015.75,23838,,,,
209.97,40.56,3395.66,23844,,,,
209.97,40.56,3395.66,23845,,,,
209.97,40.56,3395.66,23847,,,,
341.85,106.71,265.81,23864,,,,
616.56,99.85,5414.14,23882,,,,
616.56,99.85,5414.14,23883,,,,
357.3,235.73,5131.29,23888,,,,
357.3,235.73,5131.29,23890,,,,
198.9,45.22,625.4,23910,,,,
198.9,45.22,625.4,23909,,,,
749.84,319.66,1674.35,23981,,,,
28.79,29.42,3114.67,23988,,,,
616.56,99.85,5414.14,24006,,,,
339.09,136.88,9854.79,24037,,,,
335.03,105.44,634.28,24180,,,,
1407.98,245.53,5140.96,24190,,,,
632.18,21.21,1783.21,24198,,,,
1034.27,142.28,2650.05,24222,,,,
242.41,634.52,541.39,24277,,,,
677.02,101.86,1132.23,24316,,,,
677.02,101.86,1132.23,24317,,,,
677.02,101.86,1132.23,24318,,,,
677.02,101.86,1132.23,24319,,,,
583.73,216.52,1441.29,24332,,,,
583.73,216.52,1441.29,24333,,,,
333.11,70.91,2814.64,24399,,,,
677.02,101.86,1132.23,24436,,,,
677.02,101.86,1132.23,24437,,,,
677.02,101.86,1132.23,24438,,,,
677.02,101.86,1132.23,24439,,,,
463.05,165.89,362.02,24445,,,,
205.4,42.08,1045.39,24451,,,,
205.4,42.08,1045.39,24455,,,,
436.37,180.33,415.1,24466,,,,
583.73,216.52,1441.29,24545,,,,
512.48,61.63,4565.33,24601,,,,
291.82,109.26,4527.83,24602,,,,
234.7,167.39,2609.2,24647,,,,
291.82,109.26,4527.83,24653,,,,
1083.14,52.03,6215.01,24728,,,,
248.56,133.07,2004.88,24761,,,,
583.73,216.52,1441.29,24764,,,,
74.47,47.03,860.88,24766,,,,
74.47,47.03,860.88,24767,,,,
260.66,68.44,896.96,24885,,,,
558.52,70.64,3334.28,24963,,,,
260.66,68.44,896.96,25008,,,,
97.12,36.5,2815.0,25040,,,,
355.93,12.37,6828.09,25046,,,,
632.06,120.46,1453.16,25058,,,,
488.7,906.92,3089.85,25220,,,,
